"camis","dba","boro","building","street","zipcode","phone","cuisine_description","inspection_date","action","violation_code","violation_description","critical_flag","score","grade","grade_date","record_date","inspection_type","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","location"
"50170912","CHUANG CHEF","Queens","55-27","108 STREET","11368","9177144820","Chinese","2025-12-06T00:00:00.000","Violations were cited in the following area(s).","05H","No approved written standard operating procedure for avoiding contamination by refillable returnable containers.","Critical","28",,,"2026-07-01T06:00:14.000","Pre-permit (Operational) / Initial Inspection","40.740617372997","-73.853549437122","404","21","043900","4048287","4019610022","QN25","POINT (-73.853549437122 40.740617372997)"
"50182530","CHUNG DDUK","Manhattan","11","WEST   32 STREET","10001","6465771074",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-07-01T06:00:18.000",,"40.747407223937","-73.986090778063","105","04","007600","1015850","1008340033","MN17","POINT (-73.986090778063 40.747407223937)"
"50174546","LIVELY BROOKLYN","Brooklyn","396","7 AVENUE","11215","8459452615","Coffee/Tea","2025-12-08T00:00:00.000","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","46",,,"2026-07-01T06:00:14.000","Pre-permit (Operational) / Initial Inspection","40.6648798412","-73.983267665782","306","39","015100","3023282","3010300040","BK37","POINT (-73.983267665782 40.6648798412)"
"50010316","WING GONG RESTAURANT","Manhattan","2109","1 AVENUE","10029","2124101661","Chinese","2024-09-19T00:00:00.000","Violations were cited in the following area(s).","08B","Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance.","Not Critical","22",,,"2026-07-01T06:00:14.000","Cycle Inspection / Initial Inspection","40.791132280719","-73.938970697937","111","08","017000","1052808","1016800025","MN33","POINT (-73.938970697937 40.791132280719)"
"50131610","MIKE'S DELI","Queens","117-11","135 AVENUE","11420","7188439896","Sandwiches","2026-01-23T00:00:00.000","Violations were cited in the following area(s).","09B","Thawing procedure improper.","Not Critical","9","A","2026-01-23T00:00:00.000","2026-07-01T06:00:14.000","Cycle Inspection / Re-inspection","40.670842545572","-73.822528212901","410","28","083800","4435065","4117380001","QN55","POINT (-73.822528212901 40.670842545572)"
"41579300","METATE MEXICAN RESTAURANT","Bronx","3515","JOHNSON AVENUE","10463","7185434444","Mexican","2024-12-18T00:00:00.000","Violations were cited in the following area(s).","06C","Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.","Critical","13","A","2024-12-18T00:00:00.000","2026-07-01T06:00:14.000","Cycle Inspection / Re-inspection","40.88590268267","-73.909910906926","208","11","029700","2084161","2057940509","BX29","POINT (-73.909910906926 40.88590268267)"
"41588604","2ND AVENUE DELI","Manhattan","1442","1 AVENUE","10021","2127371700","Jewish/Kosher","2023-06-14T00:00:00.000","Violations were cited in the following area(s).","04C","Food worker/food vendor does not use utensil or other barrier to eliminate bare hand contact with food that will not receive adequate additional heat treatment.","Critical","29",,,"2026-07-01T06:00:14.000","Cycle Inspection / Initial Inspection","40.76964811783","-73.954637267305","108","05","013200","1045916","1014690046","MN31","POINT (-73.954637267305 40.76964811783)"
"50147024","KINGS KITCHEN 158","Brooklyn","158","LEWIS AVENUE","11221","7189198919","Chinese","2026-01-21T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","7","A","2026-01-21T00:00:00.000","2026-07-01T06:00:14.000","Cycle Inspection / Initial Inspection","40.691380884045","-73.936736488639","303","36","027900","3043537","3016090043","BK35","POINT (-73.936736488639 40.691380884045)"
"50105500","LE PAIN QUOTIDIEN","Manhattan","1270","1 AVENUE","10065","2129885001","French","2025-03-05T00:00:00.000","Violations were cited in the following area(s).","03A","Food, prohibited, from unapproved or unknown source, home canned or home prepared. Animal slaughtered, butchered or dressed (eviscerated, skinned) in establishment. Reduced Oxygen Packaged (ROP) fish not frozen before processing. ROP food prepared on premises transported to another site.","Critical","43",,,"2026-07-01T06:00:14.000","Cycle Inspection / Initial Inspection","40.765458041436","-73.957694207106","108","05","011600","1045574","1014630003","MN31","POINT (-73.957694207106 40.765458041436)"
"50018481","THE HANDPULLED NOODLE","Manhattan","3600","BROADWAY","10031","9172620213","Asian/Asian Fusion","2023-12-07T00:00:00.000","Establishment re-opened by DOHMH.","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","14","P","2023-12-07T00:00:00.000","2026-07-01T06:00:14.000","Cycle Inspection / Reopening Inspection","40.828432766425","-73.948970898181","109","07","023300","1062014","1020800001","MN04","POINT (-73.948970898181 40.828432766425)"
"41139219","DOKEBI GRILL","Manhattan","199","GRAND STREET","10013","7187821424","Korean","2023-03-15T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","17",,,"2026-07-01T06:00:14.000","Cycle Inspection / Initial Inspection","40.719139690918","-73.996796541194","102","01","004100","1003090","1002370014","MN24","POINT (-73.996796541194 40.719139690918)"
"41084188","UVA","Manhattan","1486","2 AVENUE","10075","2124724552","Italian","2025-12-06T00:00:00.000","Violations were cited in the following area(s).","02G","Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.","Critical","21",,,"2026-07-01T06:00:14.000","Cycle Inspection / Initial Inspection","40.77232744295","-73.955772708486","108","05","013400","1045200","1014520004","MN31","POINT (-73.955772708486 40.77232744295)"
"50059864","GIOVANNI RESTAURANT","Bronx","579","GRAND CONCOURSE","10451","7184026996","Italian","2026-01-13T00:00:00.000","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","26",,,"2026-07-01T06:00:14.000","Cycle Inspection / Initial Inspection","40.819300109395","-73.926971448884","204","08","006300","2001055","2023470020","BX63","POINT (-73.926971448884 40.819300109395)"
"50087301","GOLDEN WOK","Manhattan","1770","AMSTERDAM AVENUE","10031","2122810808","Chinese","2022-07-19T00:00:00.000","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","35",,,"2026-07-01T06:00:14.000","Cycle Inspection / Initial Inspection","40.826883565018","-73.946406602955","109","07","023300","1061987","1020790033","MN04","POINT (-73.946406602955 40.826883565018)"
"50132573","MONTE CARLO DINER","Manhattan","2162","2 AVENUE","10029","9175197484","American","2023-08-04T00:00:00.000","Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.","Critical","32",,,"2026-07-01T06:00:14.000","Pre-permit (Operational) / Initial Inspection","40.793905035293","-73.940026335276","111","08","018000","1052866","1016830001","MN34","POINT (-73.940026335276 40.793905035293)"
"50149025","THE BUTCHER'S DAUGHTER","Manhattan","19","KENMARE STREET","10012","2122193434","Vegetarian","2025-10-07T00:00:00.000","Violations were cited in the following area(s).","02G","Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.","Critical","9",,,"2026-07-01T06:00:14.000","Cycle Inspection / Initial Inspection","40.720533954323","-73.994682435308","102","01","004100","1007131","1004780012","MN24","POINT (-73.994682435308 40.720533954323)"
"50093120","MELONPANNA TEA & SHOT","Brooklyn","5105","7TH AVE","11220","3478895808","Bakery Products/Desserts","2026-05-22T00:00:00.000","Violations were cited in the following area(s).","04M","Live roaches in facility's food or non-food area.","Critical","16",,,"2026-07-01T06:00:14.000","Cycle Inspection / Initial Inspection","40.641772572728","-74.006594038526","307","38","010800","3013732","3008020007","BK34","POINT (-74.006594038526 40.641772572728)"
"50132290","BURGER KING","Bronx","213","EAST FORDHAM ROAD","10458","7187360999","Hamburgers","2023-07-12T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","11","A","2023-07-12T00:00:00.000","2026-07-01T06:00:14.000","Pre-permit (Operational) / Initial Inspection","40.862371839312","-73.896515680135","207","15","039901","2013607","2031540001","BX05","POINT (-73.896515680135 40.862371839312)"
"50148540","NOMAD TEA PARLOUR","Manhattan","244","5 AVENUE","10001","3476218425","Chinese","2026-01-20T00:00:00.000","Violations were cited in the following area(s).","06C","Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.","Critical","10","A","2026-01-20T00:00:00.000","2026-07-01T06:00:14.000","Cycle Inspection / Initial Inspection","40.744514399107","-73.987426669198","105","02","005800","1015690","1008290040","MN13","POINT (-73.987426669198 40.744514399107)"
"50115644","69TH COFFEE SHOP","Queens","50-01","69 STREET","11377","7183534664","Latin American","2025-05-16T00:00:00.000","Violations were cited in the following area(s).","19-10","Failure to display required signage about plastic straw availability","Not Critical",,,,"2026-07-01T06:00:14.000","Administrative Miscellaneous / Initial Inspection","40.736848439327","-73.895949998503","402","26","048900","4056365","4024370052","QN50","POINT (-73.895949998503 40.736848439327)"
"50006046","LITTLE CAESARS","Brooklyn","1110","PENNSYLVANIA AVENUE","11207","7184843666","Pizza","2023-03-28T00:00:00.000","Violations were cited in the following area(s).","06C","Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container.  Condiments not in single-service containers or dispensed directly by the vendor.","Critical","12","A","2023-03-28T00:00:00.000","2026-07-01T06:00:14.000","Cycle Inspection / Initial Inspection","40.653439806946","-73.88680766189","305","42","110400","3348650","3044120001","BK82","POINT (-73.88680766189 40.653439806946)"
"50147392","LA FLOR DEL PARAISO","Queens","1715","CORNELIA STREET","11385","3476107646","Latin American","2025-01-02T00:00:00.000","Violations were cited in the following area(s).","09C","Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.","Not Critical","42",,,"2026-07-01T06:00:14.000","Cycle Inspection / Initial Inspection","40.700345741758","-73.905452560641","405","34","055100","4082752","4034610053","QN20","POINT (-73.905452560641 40.700345741758)"
"50121060","GOLDEN WONTON KING","Queens","154-01","NORTHERN BOULEVARD","11354","7187990033","Chinese","2023-12-04T00:00:00.000","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","26",,,"2026-07-01T06:00:14.000","Pre-permit (Operational) / Second Compliance Inspection","40.764656712982","-73.810848066703","407","19","117100","4119175","4052650007","QN51","POINT (-73.810848066703 40.764656712982)"
"50150032","CAFETERIA","Manhattan","1","MADISON AVENUE","10010","6465310285","American","2026-05-28T00:00:00.000","Violations were cited in the following area(s).","08B","Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance.","Not Critical","4","A","2026-05-28T00:00:00.000","2026-07-01T06:00:14.000","Cycle Inspection / Re-inspection","40.740902347364","-73.987947003618","105","02","005600","1088749","1008530002","MN13","POINT (-73.987947003618 40.740902347364)"
"50119889","Mistura Peruana","Queens","132-04","CROSSBAY BOULEVARD","11417","7183224322","Peruvian","2025-08-05T00:00:00.000","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","12","A","2025-08-05T00:00:00.000","2026-07-01T06:00:14.000","Cycle Inspection / Initial Inspection","40.676549558732","-73.843682658193","410","32","005800","4245347","4113540022","QN56","POINT (-73.843682658193 40.676549558732)"
"50048582","FORTUNE HOUSE OF CHEN","Brooklyn","895","CLARKSON AVENUE","11203","7183639555","Chinese","2026-05-04T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","3","A","2026-05-04T00:00:00.000","2026-07-01T06:00:14.000","Cycle Inspection / Initial Inspection","40.656786212848","-73.928263710818","317","41","087800","3100250","3046220029","BK60","POINT (-73.928263710818 40.656786212848)"
"50148453","OISHI BAY SUSHI","Manhattan","230","EAST   29 STREET","10016","9172146549","Japanese","2025-03-11T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","27","B","2025-03-11T00:00:00.000","2026-07-01T06:00:14.000","Pre-permit (Operational) / Re-inspection","40.74222963199","-73.979599715101","106","02","006600","1019904","1009090038","MN20","POINT (-73.979599715101 40.74222963199)"
"50172915","LA GELATERIA","Manhattan","23","WEST   23 STREET","10010","7578180759","Italian","2025-12-10T00:00:00.000","Violations were cited in the following area(s).","05D","No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.","Critical","43",,,"2026-07-01T06:00:14.000","Pre-permit (Operational) / Initial Inspection","40.741967560086","-73.990559537558","105","03","005800","1015582","1008250029","MN13","POINT (-73.990559537558 40.741967560086)"
"50145500","DREAM HOUSE","Brooklyn","194","RALPH AVENUE","11233","7187552628","Asian/Asian Fusion","2024-10-11T00:00:00.000","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","26",,,"2026-07-01T06:00:14.000","Pre-permit (Operational) / Initial Inspection","40.683124276393","-73.92276926348","303","41","038100","3047323","3016780054","BK61","POINT (-73.92276926348 40.683124276393)"
"40625346","ROLF'S","Manhattan","281","3 AVENUE","10010","2124774750","German","2024-06-12T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","3","A","2024-06-12T00:00:00.000","2026-07-01T06:00:14.000","Cycle Inspection / Initial Inspection","40.738060990994","-73.983689457607","106","02","006400","1019649","1009020055","MN21","POINT (-73.983689457607 40.738060990994)"
"41534020","MARK'S RED HOOK PIZZA","Brooklyn","326","VAN BRUNT STREET","11231","7186240690","Pizza","2026-06-23T00:00:00.000","Violations were cited in the following area(s).","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Critical","28",,,"2026-07-01T06:00:14.000","Cycle Inspection / Initial Inspection","40.678736140451","-74.011280998204","306","38","005300","3008475","3005450021","BK33","POINT (-74.011280998204 40.678736140451)"
"41555424","BEST DELI","Brooklyn","4106","2 AVENUE","11232","7187683289","American","2024-03-26T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","9","A","2024-03-26T00:00:00.000","2026-07-01T06:00:14.000","Cycle Inspection / Initial Inspection","40.654024854515","-74.011806586258","307","38","000200","3010643","3007160037","BK32","POINT (-74.011806586258 40.654024854515)"
"50130517","PLAYA BOWLS","Manhattan","493","AVENUE OF THE AMERICAS","10011","6465582149","Frozen Desserts","2025-01-15T00:00:00.000","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","20",,,"2026-07-01T06:00:14.000","Cycle Inspection / Initial Inspection","40.736305476826","-73.997614826701","102","03","007100","1010619","1006080039","MN23","POINT (-73.997614826701 40.736305476826)"
"50132196","AL-AQSA CHINESE","Bronx","1416","UNIONPORT ROAD","10462","3474798629","Chinese","2023-07-24T00:00:00.000","Violations were cited in the following area(s).","10B","Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.","Not Critical","9","A","2023-07-24T00:00:00.000","2026-07-01T06:00:14.000","Pre-permit (Operational) / Initial Inspection","40.834900984388","-73.854555336854","209","18","022200","2028969","2039330040","BX46","POINT (-73.854555336854 40.834900984388)"
"50086659","TASTY PICKS II","Bronx","89","EAST GUN HILL ROAD","10467","7182312230","Sandwiches","2023-02-21T00:00:00.000","Violations were cited in the following area(s).","06F","Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.","Critical","24",,,"2026-07-01T06:00:14.000","Cycle Inspection / Initial Inspection","40.881700258024","-73.87964410776","207","11","043100","2017814","2033280125","BX43","POINT (-73.87964410776 40.881700258024)"
"50101746","LA GRAN NAGUA BAKERY","Brooklyn","2926","FULTON STREET","11207","7189641698","Bakery Products/Desserts","2026-02-20T00:00:00.000","Violations were cited in the following area(s).","06C","Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.","Critical","9","A","2026-02-20T00:00:00.000","2026-07-01T06:00:14.000","Cycle Inspection / Initial Inspection","40.679248950448","-73.88678531847","305","37","117000","3000000","3039520022","BK82","POINT (-73.88678531847 40.679248950448)"
"50168490","BANH ANH EM","Manhattan","99","3 AVENUE","10003","9513475213","Other","2025-05-13T00:00:00.000","Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.","Critical","129","N",,"2026-07-01T06:00:14.000","Pre-permit (Non-operational) / Initial Inspection","40.732346908311","-73.987854743471","103","02","004000","1079847","1004680007","MN22","POINT (-73.987854743471 40.732346908311)"
"40572494","BURGER KING","Queens","33-10","ASTORIA BOULEVARD","11103","7186265632","Hamburgers","2025-09-22T00:00:00.000","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","21",,,"2026-07-01T06:00:14.000","Cycle Inspection / Initial Inspection","40.769681413602","-73.916238646741","401","22","006501","4009294","4006310026","QN70","POINT (-73.916238646741 40.769681413602)"
"50073827","WOLF & LAMB STEAKHOUSE","Manhattan","16","EAST   48 STREET","10017","2123171950","Jewish/Kosher","2025-10-09T00:00:00.000","Violations were cited in the following area(s).","06A","Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.","Critical","11","A","2025-10-09T00:00:00.000","2026-07-01T06:00:14.000","Cycle Inspection / Initial Inspection","40.756891697858","-73.977220122628","105","04","009400","1035423","1012830061","MN17","POINT (-73.977220122628 40.756891697858)"
"50013810","THE LOCAL","Queens","41-04","31 AVENUE","11103","9178326797","American","2024-09-11T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","10","A","2024-09-11T00:00:00.000","2026-07-01T06:00:14.000","Cycle Inspection / Initial Inspection","40.760865189009","-73.916155922433","401","22","015500","4011191","4006790039","QN70","POINT (-73.916155922433 40.760865189009)"
"50140086","HENRY & THE LIONS","Manhattan","405","WEST   23 STREET","10011","2128887779","American","2023-08-17T00:00:00.000","Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","56",,,"2026-07-01T06:00:14.000","Pre-permit (Operational) / Initial Inspection","40.746705393524","-74.001826152527","104","03","009300","1077236","1007217501","MN13","POINT (-74.001826152527 40.746705393524)"
"41582839","SUBWAY","Queens","205-12","NORTHERN BOULEVARD","11361","7184282177","Sandwiches","2022-11-22T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","9","A","2022-11-22T00:00:00.000","2026-07-01T06:00:14.000","Cycle Inspection / Re-inspection","40.758062432505","-73.777921818943","411","19","146300","4156612","4073010022","QN46","POINT (-73.777921818943 40.758062432505)"
"50047519","POULETTE","Manhattan","304","EAST   49 STREET","10017","3474200714","French","2022-12-01T00:00:00.000","Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.","Critical","11","A","2022-12-01T00:00:00.000","2026-07-01T06:00:14.000","Cycle Inspection / Re-inspection","40.754059807204","-73.968569369578","106","04","009000","1038933","1013410149","MN19","POINT (-73.968569369578 40.754059807204)"
"50101404","BAGEL PUB 7TH AVE","Brooklyn","57","7 AVENUE","11217","9177545252","Bagels/Pretzels","2026-04-10T00:00:00.000","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","12","A","2026-04-10T00:00:00.000","2026-07-01T06:00:14.000","Cycle Inspection / Initial Inspection","40.675829888705","-73.974511610981","306","39","015900","3024417","3010590001","BK37","POINT (-73.974511610981 40.675829888705)"
"50148333","YGF MALATANG","Manhattan","92","3 AVENUE","10003","6468608838","Chinese","2024-09-04T00:00:00.000","Violations were cited in the following area(s).","09E","Wash hands sign not posted near or above hand washing sink.","Not Critical","44",,,"2026-07-01T06:00:14.000","Pre-permit (Operational) / Initial Inspection","40.732168514915","-73.988009929002","103","02","004200","1009022","1005580032","MN22","POINT (-73.988009929002 40.732168514915)"
"50144746","THAI TIME","Manhattan","219","EAST   23 STREET","10010","6466785390","Thai","2024-01-25T00:00:00.000","Violations were cited in the following area(s).","05D","No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.","Critical","53",,,"2026-07-01T06:00:14.000","Pre-permit (Operational) / Initial Inspection","40.738568599511","-73.982516552582","106","02","006400","1019773","1009040012","MN21","POINT (-73.982516552582 40.738568599511)"
"50137598","THE BUREAU CAFE","Brooklyn","279","NOSTRAND AVENUE","11216","6177178173","Coffee/Tea","2024-02-26T00:00:00.000","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","11","A","2024-02-26T00:00:00.000","2026-07-01T06:00:14.000","Pre-permit (Operational) / Initial Inspection","40.68922237953","-73.951324307032","303","36","025100","3338668","3017890001","BK75","POINT (-73.951324307032 40.68922237953)"
"41634226","ROSE HOOKAH LOUNGE","Queens","23-52","STEINWAY STREET","11105","6462872713","Middle Eastern","2025-09-25T00:00:00.000","Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.","Critical","24",,,"2026-07-01T06:00:14.000","Cycle Inspection / Initial Inspection","40.769906986946","-73.909664076543","401","22","011700","4015722","4008030065","QN72","POINT (-73.909664076543 40.769906986946)"
